"location","lat","long","alt","year","bloom_date","bloom_doy","DaysSub0","DecDaysSub0","FirstSub0","FirstDecSub0","SeqSub0","JanSeqSub0","DaysAbove20","ConsecTMinSub0","TMinSub0","JanPrecipDays"
"washingtondc",38.8853496,-77.0386278,0,1951,"1951-04-06",96,4,NA,330,NA,1,1,78,24,111,10
"washingtondc",38.8853496,-77.0386278,0,1952,"1952-04-09",100,2,1,362,362,1,1,77,28,138,12
"washingtondc",38.8853496,-77.0386278,0,1953,"1953-03-27",86,1,1,351,351,1,0,23,18,97,13
"washingtondc",38.8853496,-77.0386278,0,1954,"1954-04-06",96,3,0,12,NA,3,3,86,15,124,4
"washingtondc",38.8853496,-77.0386278,0,1955,"1955-04-02",92,7,1,352,352,3,3,76,43,122,3
"washingtondc",38.8853496,-77.0386278,0,1956,"1956-04-06",97,2,1,355,355,1,1,70,46,153,8
"washingtondc",38.8853496,-77.0386278,0,1957,"1957-04-08",98,5,1,355,355,4,4,71,43,144,11
"washingtondc",38.8853496,-77.0386278,0,1958,"1958-04-18",108,6,0,4,NA,3,1,57,96,149,6
"washingtondc",38.8853496,-77.0386278,0,1959,"1959-04-06",96,6,1,346,346,2,2,80,50,139,5
"washingtondc",38.8853496,-77.0386278,0,1960,"1960-04-14",105,8,4,341,341,2,0,73,45,141,9
"washingtondc",38.8853496,-77.0386278,0,1961,"1961-04-02",92,11,0,20,NA,6,6,72,49,147,5
"washingtondc",38.8853496,-77.0386278,0,1962,"1962-04-07",97,11,3,347,347,3,3,74,44,144,7
"washingtondc",38.8853496,-77.0386278,0,1963,"1963-04-03",93,7,0,1,NA,2,2,73,51,147,7
"washingtondc",38.8853496,-77.0386278,0,1964,"1964-04-11",102,9,6,345,345,4,3,70,37,146,7
"washingtondc",38.8853496,-77.0386278,0,1965,"1965-04-15",105,12,6,351,351,3,3,64,38,154,8
"washingtondc",38.8853496,-77.0386278,0,1966,"1966-04-05",95,5,0,25,NA,3,3,63,38,145,6
"washingtondc",38.8853496,-77.0386278,0,1967,"1967-04-06",96,4,0,19,NA,1,1,71,19,148,4
"washingtondc",38.8853496,-77.0386278,0,1968,"1968-03-30",90,8,0,2,NA,2,2,76,38,150,7
"washingtondc",38.8853496,-77.0386278,0,1969,"1969-04-09",99,1,0,5,NA,1,1,73,46,135,9
"washingtondc",38.8853496,-77.0386278,0,1970,"1970-04-16",106,12,2,360,360,5,5,59,72,157,8
"washingtondc",38.8853496,-77.0386278,0,1971,"1971-04-08",98,10,1,359,359,4,3,73,43,152,7
"washingtondc",38.8853496,-77.0386278,0,1972,"1972-04-11",102,3,0,16,NA,1,1,82,34,141,14
"washingtondc",38.8853496,-77.0386278,0,1973,"1973-04-11",101,7,0,7,NA,3,3,60,27,132,6
"washingtondc",38.8853496,-77.0386278,0,1974,"1974-04-03",93,3,1,352,352,1,1,79,29,138,15
"washingtondc",38.8853496,-77.0386278,0,1975,"1975-04-03",93,4,2,352,352,2,1,58,59,158,13
"washingtondc",38.8853496,-77.0386278,0,1976,"1976-03-23",83,8,0,5,NA,3,3,90,55,132,14
