"location","year","TmaxDaysAbove0","TmaxDaysAbove5","TmaxDaysAbove10","TmaxDaysAbove20","TmaxDaysAbove25","TminDaysAbove0","TminDaysAbove5","TminDaysAbove10","PrcpDays","TmaxDecAbove0","TmaxJanAbove0","TmaxFebAbove0","DecPrcpDays","JanPrcpDays","FebPrcpDays","TmaxDaysSub0","TmaxDaysSub5","TmaxDaysSub10","TmaxDaysSub20","TmaxDaysSub25","TminDaysSub0","TminDaysSub5","TminDaysSub8","TminDaysSub10","FirstTmaxSub7","FirstTminFreeze","FirstJanTmaxAbove4","FirstFebTmaxAbove5","FirstJanTminAboveNeg1","FirstFebTminAboveNeg2","MaxConsecTminSub0","MaxConsecTmaxSub0","MaxOctConsecTminSub0","MaxNovConsecTminSub0","MaxDecConsecTminSub0","MaxJanConsecTminAbove0","MaxFebConsecTminAbove0","MaxJanConsecTmaxAbove10","MaxFebConsecTmaxAbove10"
"kyoto",2022,237,209,161,62,43,110,63,31,113,31,31,31,9,9,14,0,27,75,173,194,48,95,112,126,123,124,123,154,124,154,11,0,0,0,1,2,1,2,2
"kyoto",2023,240,171,134,42,0,145,93,53,242,31,31,31,31,31,28,2,71,108,200,242,97,149,177,189,100,93,123,155,123,154,31,1,0,0,4,2,0,2,0
"kyoto",2024,241,200,142,49,11,164,107,63,243,31,29,31,31,31,29,2,43,101,194,232,79,136,170,180,102,100,123,155,123,154,25,2,0,0,4,3,1,2,1
"kyoto",2025,242,211,152,50,19,186,103,57,242,31,31,31,31,31,28,0,31,90,192,223,56,139,172,185,96,93,123,154,123,154,8,0,0,0,7,3,7,1,6
"kyoto",2026,242,196,136,43,17,166,101,48,242,31,31,31,31,31,28,0,46,106,199,225,76,141,180,194,94,94,123,154,123,154,15,0,0,0,3,6,2,3,0
"kyoto",2027,235,175,127,42,18,152,92,51,242,29,29,29,31,31,28,7,67,115,200,224,90,150,174,191,85,90,148,156,133,157,56,3,0,2,3,0,3,0,2
"kyoto",2028,239,186,142,43,19,156,98,53,243,31,27,31,31,31,29,4,57,101,200,224,87,145,172,190,88,87,123,160,123,158,23,3,0,1,2,2,2,1,2
"kyoto",2029,241,189,136,48,17,164,98,58,242,31,31,31,31,31,28,1,53,106,194,225,78,144,172,184,103,108,123,156,130,154,10,1,0,0,2,3,1,2,1
"kyoto",2030,239,180,137,49,12,155,106,55,242,31,29,31,31,31,28,3,62,105,193,230,87,136,165,187,97,99,123,159,123,157,21,2,0,0,5,2,4,1,1
"kyoto",2031,239,206,148,43,18,171,105,59,242,31,30,31,31,31,28,3,36,94,199,224,71,137,169,183,90,90,123,166,123,155,27,1,0,1,4,3,2,0,1
"kyoto",2032,241,202,140,54,28,171,102,71,243,31,30,31,31,31,29,2,41,103,189,215,72,141,158,172,98,87,123,154,123,154,26,1,0,1,3,2,2,2,0
"liestal",2022,231,189,113,30,12,147,63,23,144,31,28,31,18,11,20,8,48,126,209,227,85,172,200,211,78,69,123,176,123,177,27,3,0,2,5,5,2,4,3
"liestal",2023,236,178,102,20,1,129,51,21,242,30,31,30,31,31,28,6,64,140,222,241,113,191,207,221,61,66,123,154,124,154,35,4,0,15,20,4,4,4,4
"liestal",2024,229,172,108,32,7,123,57,16,243,31,24,31,31,31,29,14,71,135,211,236,120,186,212,227,53,50,123,181,123,182,63,3,7,5,19,4,0,2,0
"liestal",2025,238,207,148,26,11,162,59,17,242,31,31,31,31,31,28,4,35,94,216,231,80,183,219,225,46,55,123,154,125,154,8,3,2,8,5,4,3,2,8
"liestal",2026,217,192,125,23,1,149,68,11,242,31,18,31,31,31,28,25,50,117,219,241,93,174,213,231,63,68,123,154,123,155,27,13,0,6,4,4,4,1,9
"liestal",2027,236,182,109,17,1,131,43,3,242,27,31,27,31,31,28,6,60,133,225,241,111,199,225,239,63,50,123,154,123,154,13,3,1,11,13,3,3,1,2
"liestal",2028,236,180,105,24,3,122,54,16,243,31,29,31,31,31,29,7,63,138,219,240,121,189,218,227,67,34,123,154,123,154,20,3,2,16,6,5,4,7,3
"liestal",2029,229,185,126,14,0,142,75,12,242,27,28,27,31,31,28,13,57,116,228,242,100,167,215,230,75,75,123,157,127,157,15,3,0,7,8,3,8,1,4
"liestal",2030,232,196,119,30,3,149,53,14,242,30,27,30,31,31,28,10,46,123,212,239,93,189,218,228,75,44,123,154,123,154,34,4,1,6,10,1,3,0,5
"liestal",2031,233,176,116,28,6,130,56,17,242,30,26,30,31,31,28,9,66,126,214,236,112,186,215,225,66,41,123,156,123,162,54,4,1,7,12,4,0,2,2
"liestal",2032,221,180,117,26,7,132,47,16,243,28,18,28,31,31,29,22,63,126,217,236,111,196,216,227,50,47,146,156,123,156,36,9,5,6,4,0,3,0,2
"vancouver",2022,228,205,125,11,1,195,108,33,173,25,31,25,20,18,19,10,32,111,227,237,41,130,183,205,123,123,124,154,124,154,15,6,1,1,7,12,5,2,3
"vancouver",2023,222,197,141,32,8,196,116,46,242,13,29,13,31,31,28,20,45,101,210,234,46,126,165,196,79,96,127,154,130,154,34,16,0,0,27,8,28,0,9
"vancouver",2024,232,213,134,43,11,217,131,39,243,31,26,31,31,31,29,11,30,109,200,232,26,112,180,204,85,85,123,165,123,159,11,5,0,1,1,15,8,3,1
"vancouver",2025,241,227,148,16,4,228,124,34,242,30,31,30,31,31,28,1,15,94,226,238,14,118,189,208,74,86,123,154,123,154,7,1,0,1,7,21,28,2,3
"vancouver",2026,237,200,121,35,13,205,110,41,242,31,27,31,31,31,28,5,42,121,207,229,37,132,175,201,76,83,123,154,123,154,17,2,0,3,0,5,7,0,1
"vancouver",2027,242,236,141,28,0,237,148,47,242,31,31,31,31,31,28,0,6,101,214,242,5,94,172,195,93,100,123,154,123,154,2,0,0,0,2,26,13,14,3
"vancouver",2028,242,226,154,31,9,225,125,54,243,30,31,30,31,31,29,1,17,89,212,234,18,118,167,189,101,102,123,154,123,154,6,1,0,0,5,17,12,2,10
"vancouver",2029,241,232,165,32,15,232,160,54,242,31,30,31,31,31,28,1,10,77,210,227,10,82,160,188,95,100,123,154,123,154,6,1,0,0,2,13,28,4,7
"vancouver",2030,235,220,151,25,10,220,138,46,242,31,31,31,31,31,28,7,22,91,217,232,22,104,162,196,92,113,123,160,123,154,17,5,0,0,3,25,13,5,2
"vancouver",2031,242,234,167,26,10,231,149,37,242,31,31,31,31,31,28,0,8,75,216,232,11,93,177,205,125,127,123,154,123,154,4,0,0,0,0,25,25,5,13
"vancouver",2032,235,206,122,31,18,210,118,44,243,31,26,31,31,31,29,8,37,121,212,225,33,125,177,199,71,71,123,154,123,154,10,4,0,2,1,6,9,0,1
"washingtondc",2022,225,199,152,62,30,170,103,58,119,31,28,31,8,10,17,2,25,70,165,196,66,136,158,179,170,170,123,169,123,169,16,1,0,1,2,2,3,2,4
"washingtondc",2023,226,198,155,64,24,159,94,52,242,28,26,28,31,31,28,16,44,87,178,218,83,148,174,190,80,72,134,154,136,154,30,7,0,4,5,4,1,5,3
"washingtondc",2024,234,212,169,71,46,162,112,68,243,31,22,31,31,31,29,9,31,74,172,197,81,131,161,175,83,71,123,155,124,156,17,4,0,5,8,2,8,1,10
"washingtondc",2025,241,209,158,63,25,150,100,57,242,30,31,30,31,31,28,1,33,84,179,217,92,142,174,185,83,63,123,155,126,156,18,1,0,5,12,3,8,3,5
"washingtondc",2026,237,210,154,67,25,158,96,56,242,26,31,26,31,31,28,5,32,88,175,217,84,146,175,186,87,72,123,154,124,154,13,4,0,4,9,4,3,4,7
"washingtondc",2027,234,213,164,65,15,175,111,66,242,31,28,31,31,31,28,8,29,78,177,227,67,131,158,176,87,54,123,154,123,154,22,3,1,6,2,2,4,2,3
"washingtondc",2028,231,182,134,58,26,132,79,48,243,31,25,31,31,31,29,12,61,109,185,217,111,164,181,195,96,75,123,154,131,178,60,4,0,5,10,4,0,3,0
"washingtondc",2029,223,178,141,70,36,143,93,54,242,28,18,28,31,31,28,19,64,101,172,206,99,149,174,188,71,71,128,158,130,159,26,4,0,3,17,1,2,1,1
"washingtondc",2030,215,182,133,67,35,134,87,56,242,27,12,27,31,31,28,27,60,109,175,207,108,155,174,186,79,72,147,157,127.5,157,40,6,0,5,7,0,1,0,2
"washingtondc",2031,232,203,160,69,41,155,92,59,242,30,22,30,31,31,28,10,39,82,173,201,87,150,172,183,79,69,123,155,125,157,29,3,0,5,9,1,4,1,8
"washingtondc",2032,224,194,158,74,41,169,116,62,243,30,23,30,31,31,29,19,49,85,169,202,74,127,161,181,82,84,130,161,134,161,43,5,0,5,5,0,2,0,1
